sortir	to go out, leave	[sound:sortir.mp3]
tomber	to fall	[sound:tomber.mp3]
descendre	to descend go down, take down, bring down	[sound:descendre.mp3]
devenir	to become	[sound:devenir.mp3]
partir	to leave, go away	[sound:partir.mp3]
parvenir	to reach, send, achieve	[sound:parvenir.mp3]
passer	to go, take, pass, spend time<br /><br />*numerous uses, common in expressions	[sound:passer.mp3]
rentrer	to return (to a place)	[sound:rentrer.mp3]
rester	to remain, stay, be left (over)	[sound:rester.mp3]
retourner	to return	[sound:retourner.mp3]
revenir	to come back	[sound:revenir.mp3]
venir	to come	[sound:venir.mp3]
avoir	to have	[sound:avoir.mp3]
être	to be	[sound:%C3%AAtre.mp3]
faire	to make, do	[sound:faire.mp3]
pouvoir	to be able, can	[sound:pouvoir.mp3]
devoir	to have to, must, ought, owe, should	[sound:devoir.mp3]
vouloir	to want	[sound:vouloir.mp3]
abaisser	to lower, reduce, humilitate, humble	[sound:abaisser.mp3]
abasourdir	to daze, deafen, stun, bewilder, stupefy	[sound:abasourdir.mp3]
abattre	to knock, pull, cut, shoot, or bring down, slaughter<br />to dishearten	[sound:abattre.mp3]
abolir	to abolish, do away with	[sound:abolir.mp3]
absoudre	to absolve	[sound:absoudre.mp3]
s'abstenir	to abstain	[sound:s%27abstenir.mp3]
accepter	to accept	[sound:accepter.mp3]
acclamer	to acclaim, cheer, applaud	[sound:acclamer.mp3]
accompagner	to accompany	[sound:accompagner.mp3]
accorder	to accord, grant, reconcile, admit	[sound:accorder.mp3]
accourir	to run to, run up to	[sound:accourir.mp3]
accrocher	to hang (up)	[sound:accrocher.mp3]
accueillir	to welcome	[sound:accueillir.mp3]
accuser	to accuse, acknowledge	[sound:accuser.mp3]
achever	to achieve, complete, finish, end	[sound:achever.mp3]
acquérir	to acquire	[sound:acqu%C3%A9rir.mp3]
adjoindre	to appoint (as on a team, position, etc.)	[sound:adjoindre.mp3]
admettre	to admit, pass, suppose	[sound:admettre.mp3]
admirer	to admire	[sound:admirer.mp3]
adorer	to adore, worship	[sound:adorer.mp3]
adresser	to address, send	[sound:adresser.mp3]
affaiblir	to weaken	[sound:affaiblir.mp3]
agacer	to annoy, irritate, pester, vex	[sound:agacer.mp3]
