projeter	to project, plan, throw up, cast	[sound:projeter.mp3]
prononcer	to pronounce, declare	[sound:prononcer.mp3]
proscrire	to prohibit, ban, proscribe, banish	[sound:proscrire.mp3]
protéger	to protect	[sound:prot%C3%A9ger.mp3]
prouver	to prove	[sound:prouver.mp3]
puer	to stink	[sound:puer.mp3]
punir	to punish	[sound:punir.mp3]
ralentir	to slow down	[sound:ralentir.mp3]
ranger	to set (put) in order, tidy up	[sound:ranger.mp3]
rappeler	to recall, remind, call again, call back	[sound:rappeler.mp3]
rassurer	to reassure	[sound:rassurer.mp3]
rater	to fail, miss<br />	[sound:rater.mp3]
ravir	to delight, rob (somebody of something)	[sound:ravir.mp3]
reconduire	to escort, renew	[sound:reconduire.mp3]
reconstruire	to rebuild, reconstruct	[sound:reconstruire.mp3]
recoudre	to sew back on, stitch up	[sound:recoudre.mp3]
recourir	to race again, resort to, to turn to	[sound:recourir.mp3]
recouvrir	to cover, become covered	[sound:recouvrir.mp3]
récrire	to rewrite, write again	[sound:r%C3%A9crire.mp3]
recueillir	to collect, gather, harvest	[sound:recueillir.mp3]
rédiger	to write, compile, write up, draw up	[sound:r%C3%A9diger.mp3]
redire	to repeat, say again	[sound:redire.mp3]
réduire	to reduce, decrease, diminish	[sound:r%C3%A9duire.mp3]
réélire	to re-elect	[sound:r%C3%A9%C3%A9lire.mp3]
rejeter	to reject, throw back, deny	[sound:rejeter.mp3]
rejoindre	to rejoin, to agree with	[sound:rejoindre.mp3]
relire	to reread	[sound:relire.mp3]
remarquer	to remark, notice, observe, distinguish	[sound:remarquer.mp3]
remettre	to put (on) again, replace, put back, give back, postpone	[sound:remettre.mp3]
rencontrer	to meet, encounter	[sound:rencontrer.mp3]
rendre	to give back, return, render, vomit	[sound:rendre.mp3]
renoncer	to renounce	[sound:renoncer.mp3]
renouveler	to renew, re-elect, repeat	[sound:renouveler.mp3]
renvoyer	to dismiss, expel, suspend, send away	[sound:renvoyer.mp3]
répandre	to spread, scatter, spill	[sound:r%C3%A9pandre.mp3]
reparaître	to reappear	[sound:repara%C3%AEtre.mp3]
réparer	to repair	[sound:r%C3%A9parer.mp3]
repasser	to iron, pass again	[sound:repasser.mp3]
repeindre	to repaint	[sound:repeindre.mp3]
se repentir	to repent	[sound:se+repentir.mp3]
repérer	to spot, locate	[sound:rep%C3%A9rer.mp3]
reprendre	to take back, recover, resume	[sound:reprendre.mp3]
réprimander	to reprimand	[sound:r%C3%A9primander.mp3]
reproduire	to reproduce	[sound:reproduire.mp3]
résoudre	to resolve, solve	[sound:r%C3%A9soudre.mp3]
ressembler	to resemble	[sound:ressembler.mp3]
ressentir	to feel	[sound:ressentir.mp3]
restreindre	to restrict	[sound:restreindre.mp3]
retenir	to retain, keep, detain, hold back	[sound:retenir.mp3]
revendiquer	to demand, claim responsibility for, claim	[sound:revendiquer.mp3]
rêver	to dream (during sleep)	[sound:r%C3%AAver.mp3]
revêtir	to put on (uniform)<br>to take on (appearance, character)	[sound:rev%C3%AAtir.mp3]
revoir	to see again	[sound:revoir.mp3]
riposter	to retaliate, answer back, counter attack	[sound:riposter.mp3]
rire	to laugh	[sound:rire.mp3]
rompre	to break, burst, shatter, break off	[sound:rompre.mp3]
rougir	to redden, blush	[sound:rougir.mp3]
rouler	to roll, drive (a car), ride along	[sound:rouler.mp3]
rouvrir	to reopen	[sound:rouvrir.mp3]
saisir	to seize, grasp, comprehend	[sound:saisir.mp3]
salir	to soil, dirty	[sound:salir.mp3]
satisfaire	to satisfy	[sound:satisfaire.mp3]
sauter	to jump, leap	[sound:sauter.mp3]
sauver	to save, rescue	[sound:sauver.mp3]
secouer	to shake, shake off	[sound:secouer.mp3]
secourir	to help, relieve	[sound:secourir.mp3]
séduire	to charm, appeal to	[sound:s%C3%A9duire.mp3]
séjourner	to sojourn, live somewhere temporarily	[sound:s%C3%A9journer.mp3]
sembler	to seem	[sound:sembler.mp3]
séparer	to separate	[sound:s%C3%A9parer.mp3]
serrer	to grasp, press, squeeze, shake (hands)	[sound:serrer.mp3]
servir	to serve, be useful	[sound:servir.mp3]
siffler	to whistle, hiss, boo	[sound:siffler.mp3]
signaler	to signal, point out	[sound:signaler.mp3]
signer	to sign	[sound:signer.mp3]
signifier	to mean	[sound:signifier.mp3]
skier	to ski	[sound:skier.mp3]
songer	to dream, think	[sound:songer.mp3]
sonner	to ring	[sound:sonner.mp3]
souffler	to blow, pant	[sound:souffler.mp3]
souffrir	to suffer, endure	[sound:souffrir.mp3]
souiller	to soil, dirty, muddy, sully (reputation)	[sound:souiller.mp3]
soumettre	to submit	[sound:soumettre.mp3]
sourire	to smile	[sound:sourire.mp3]
souscrire	to subscribe (book, new publication, fund)	[sound:souscrire.mp3]
soutenir	to support	[sound:soutenir.mp3]
se souvenir	to remember	[sound:se+souvenir.mp3]
subir	to suffer, undergo	[sound:subir.mp3]
subvenir	to provide for, support	[sound:subvenir.mp3]
sucer	to suck	[sound:sucer.mp3]
succomber	to succumb, die	[sound:succomber.mp3]
suffire	to suffice, be enough	[sound:suffire.mp3]
suggérer	to suggest	[sound:sugg%C3%A9rer.mp3]
supplier	to beg, implore, supplicate	[sound:supplier.mp3]
supposer	to suppose	[sound:supposer.mp3]
supporter	to support, endure, hold up, prop up, tolerate	[sound:supporter.mp3]
surprendre	to surprise	[sound:surprendre.mp3]
survenir	to occur, arise, take place	[sound:survenir.mp3]
survivre	to survive	[sound:survivre.mp3]
survoler	to fly over	[sound:survoler.mp3]
tapoter	to tap, pat	[sound:tapoter.mp3]
teindre	to dye	[sound:teindre.mp3]
téléphoner	to call (on the telephone)	[sound:t%C3%A9l%C3%A9phoner.mp3]
tendre	to strain, stretch, tighten, tend	[sound:tendre.mp3]
tenter	to tempt, attempt, try	[sound:tenter.mp3]
tirer	to draw out, shoot, pull	[sound:tirer.mp3]
tondre	to shear, mow	[sound:tondre.mp3]
tonner	to thunder, boom	[sound:tonner.mp3]
tordre	to twist	[sound:tordre.mp3]
toucher	to touch, affect	[sound:toucher.mp3]
tourner	to turn	[sound:tourner.mp3]
tousser	to cough	[sound:tousser.mp3]
tracer	to draw (something out: water, card, etc.)<br>to draw (plan, line, circle)	[sound:tracer.mp3]
traduire	to translate	[sound:traduire.mp3]
trahir	to betray	[sound:trahir.mp3]
traiter	to treat (somebody a certain way), negotiate	[sound:traiter.mp3]
transmettre	to transmit, transfer	[sound:transmettre.mp3]
transparaître	to show through	[sound:transpara%C3%AEtre.mp3]
traverser	to traverse, cross	[sound:traverser.mp3]
tressaillir	to quiver, shudder, wince	[sound:tressaillir.mp3]
tricher	to trick, cheat	[sound:tricher.mp3]
tuer	to kill	[sound:tuer.mp3]
tutoyer	to use &quot;tu&quot; with somebody when speaking	[sound:tutoyer.mp3]
unir	to unite, join	[sound:unir.mp3]
user	to wear out, wear down	[sound:user.mp3]
vaincre	to vanquish, conquer	[sound:vaincre.mp3]
valoir	to be worth, be as good as, deserve, merit	[sound:valoir.mp3]
vanter	to vaunt, praise	[sound:vanter.mp3]
varier	to vary	[sound:varier.mp3]
veiller	to stay up (late), be watchful	[sound:veiller.mp3]
venger	to avenge	[sound:venger.mp3]
verdir	to turn green	[sound:verdir.mp3]
vérifier	to verify, check, audit	[sound:v%C3%A9rifier.mp3]
verser	to pour	[sound:verser.mp3]
vêtir	to clothe, dress	[sound:v%C3%AAtir.mp3]
vieillir	to grow old, age	[sound:vieillir.mp3]
viser	to aim	[sound:viser.mp3]
vivre	to live (be alive)	[sound:vivre.mp3]
voiler	to veil	[sound:voiler.mp3]
voler	to fly, steal	[sound:voler.mp3]
voter	to vote	[sound:voter.mp3]
vouvoyer	to use &quot;vous&quot; when speaking with somebody	[sound:vouvoyer.mp3]
voyager	to travel	[sound:voyager.mp3]
zébrer	to stripe	[sound:z%C3%A9brer.mp3]
zézayer	to lisp	[sound:z%C3%A9zayer.mp3]
zoner	to zone	[sound:zoner.mp3]
frissonner	to quake (fear), shudder (horror), shiver (from cold)	[sound:frissonner.mp3]
rêvasser	to dream (when awake)	[sound:r%C3%AAvasser.mp3]
accroître	to increase, make greater, to enlarge	[sound:accro%C3%AEtre.mp3]
s'en aller	to go away	[sound:s%27en+aller.mp3]
s'amuser	to have a good time<br>to amuse oneself<br>to enjoy oneself	[sound:s%27amuser.mp3]
apprécier	to appreciate	[sound:appr%C3%A9cier.mp3]
s'arrêter	to stop oneself, to pause	[sound:s%27arr%C3%AAter.mp3]
assiéger	to besiege<br />to lay seige to	[sound:assi%C3%A9ger.mp3]
baver	to drool	[sound:baver.mp3]
brancher	to plug in, connect	[sound:brancher.mp3]
croître	to grow, increase	[sound:cro%C3%AEtre.mp3]
se débrouiller	to manage, improvise, get by	[sound:se+d%C3%A9brouiller.mp3]
décroître	to decrease, diminish	[sound:d%C3%A9cro%C3%AEtre.mp3]
se dépêcher	to hurry, hasten	[sound:se+d%C3%A9p%C3%AAcher.mp3]
émouvoir	to move, touch, excite, arouse	[sound:%C3%A9mouvoir.mp3]
enduire	to coat (cover a surface)	[sound:enduire.mp3]
s'étendre	to stretch oneself, to stretch out, lie down	[sound:s%27%C3%A9tendre.mp3]
s'évanouir	to faint, lose consciousness, swoon, vanish	[sound:s%27%C3%A9vanouir.mp3]
s'exclure mutuellement	to be mutually exclusive	[sound:s%27exclure+mutuellement.mp3]
s'excuser	to excuse oneself, apologize	[sound:s%27excuser.mp3]
se fâcher	to become angry	[sound:se+f%C3%A2cher.mp3]
se fier	to depend on, rely on, trust in	[sound:se+fier.mp3]
fuir	to flee, fly off, shun<br />to leak (gas, oil, etc.)	[sound:fuir.mp3]
se laver	to wash oneself	[sound:se+laver.mp3]
se lever	to get up	[sound:se+lever.mp3]
se méfier	to beware, distrust, mistrust	[sound:se+m%C3%A9fier.mp3]
se méprendre	to be mistaken, to mistake	[sound:se+m%C3%A9prendre.mp3]
se mettre	to begin, start, place oneself	[sound:se+mettre.mp3]
mirer	to mirror	[sound:mirer.mp3]
modeler	to model, shape	[sound:modeler.mp3]
mouvoir	to move	[sound:mouvoir.mp3]
s'occuper	to be busy, keep oneself busy	[sound:s%27occuper.mp3]
se plaindre	to complain, lament, moan	[sound:se+plaindre.mp3]
se presser	to be in a hurry, make haste, rush, crowd	[sound:se+presser.mp3]
programmer	to program, plan	[sound:programmer.mp3]
se rappeler	to remember, recall, recollect	[sound:se+rappeler.mp3]
se reposer	to rest 	[sound:se+reposer.mp3]
se retirer	to retire, withdraw	[sound:se+retirer.mp3]
se sauver	to run away, to rush off, to escape	[sound:se+sauver.mp3]
sécher	to dry	[sound:s%C3%A9cher.mp3]
se servir	to serve oneself, help oneself (to food and drink)	[sound:se+servir.mp3]
se taire	to be silent, quiet	[sound:se+taire.mp3]
traire	to milk	[sound:traire.mp3]
travailler	to work	[sound:travailler.mp3]
se tromper	to be mistaken, to be wrong (about something)	[sound:se+tromper.mp3]
tromper	to cheat, deceive	[sound:tromper.mp3]
trouver	to find	[sound:trouver.mp3]
se trouver	to be located, be situated	[sound:se+trouver.mp3]
vendre	to sell	[sound:vendre.mp3]
voir	to see	[sound:voir.mp3]
déverrouiller	to unlock, release, unboldt	[sound:d%C3%A9verrouiller.mp3]
détendre	to relax	
coopérer	to cooperate	
précéder	to precede	
régner	to reign	
rouspéter	to grumble, grouch	
tolérer	to tolerate	
ensorceler	to bewitch	
aboyer	to bark	
rayer	to cross out	
revendre	to sell, sell off	
grossir	to gain weight	
